vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
3,15000,Individual,Diesel,Manual,22.54,1396,88.73,5,850000
3,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,598000
6,31180,Dealer,Petrol,Automatic,18.0,1497,117.3,5,700000
7,56000,Dealer,Diesel,Manual,23.4,1248,74.0,5,410000
5,52427,Dealer,Petrol,Automatic,21.4,1197,83.1,5,590000
1,40000,Individual,Diesel,Manual,21.0,1498,74.96,7,850000
3,17000,Individual,Petrol,Manual,18.15,1198,82.0,5,550000
5,22000,Dealer,Petrol,Manual,15.4,1590,94.0,5,625000
5,54000,Individual,Petrol,Manual,20.85,1197,83.14,5,600000
2,10000,Individual,Petrol,Manual,20.51,998,67.04,5,445000
2,20000,Individual,Petrol,Manual,20.89,1197,81.8,5,530000
3,53237,Trustmark Dealer,CNG,Manual,26.6,998,58.16,5,410000
3,27263,Individual,Petrol,Manual,22.5,999,68.0,5,350000
7,110000,Individual,Diesel,Manual,22.32,1582,126.3,5,520000
5,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,750000
4,70000,Individual,Diesel,Manual,26.59,1248,74.0,5,560000
2,39000,Dealer,Petrol,Manual,18.6,1197,81.83,5,655000
14,56000,Dealer,Petrol,Manual,17.8,1086,63.0,5,125000
3,34000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
4,50000,Individual,Diesel,Manual,15.4,1997,120.0,7,1150000
9,77400,Individual,Diesel,Manual,20.54,1598,103.6,5,500000
2,36000,Individual,Diesel,Manual,17.3,1497,121.0,7,990000
8,47876,Dealer,Diesel,Manual,25.0,1493,113.42,5,551000
3,21500,Individual,Diesel,Automatic,15.1,2179,152.87,7,1650000
6,75000,Dealer,Diesel,Manual,24.0,1120,70.0,5,350000
4,58000,Dealer,Petrol,Manual,18.16,1196,86.8,5,500000
3,30000,Individual,Petrol,Manual,21.21,1197,81.8,5,575000
3,50000,Individual,Diesel,Manual,24.0,1186,73.97,5,545000
4,19093,Trustmark Dealer,Petrol,Manual,18.16,1196,86.8,5,525000
7,50000,Individual,Petrol,Manual,18.0,1198,86.7,5,400000
15,37000,Dealer,Petrol,Manual,14.0,1061,64.0,5,155000
5,47000,Dealer,Diesel,Manual,26.59,1248,74.0,5,545000
8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000
5,25000,Individual,Petrol,Manual,25.17,799,53.3,5,240000
3,26000,Dealer,Diesel,Manual,24.3,1248,88.5,5,725000
4,30000,Individual,Petrol,Manual,18.16,1196,86.8,5,480000
8,15000,Individual,Petrol,Manual,18.5,1197,82.9,5,375000
10,160000,Individual,Diesel,Manual,17.8,1248,75.0,5,225000
4,32100,Individual,Petrol,Manual,23.84,1199,84.0,5,400000
5,22000,Dealer,Petrol,Manual,18.5,1197,82.9,5,550000
5,44000,Dealer,Diesel,Manual,15.4,2179,120.0,7,1050000
5,78000,Dealer,Petrol,Manual,18.78,1198,74.0,5,450000
9,74352,Dealer,Petrol,Automatic,11.74,1796,186.0,5,775000
7,37000,Individual,Petrol,Manual,20.51,998,67.04,5,350000
7,69000,Dealer,Diesel,Manual,25.1,1498,98.6,5,550000
2,12120,Individual,Petrol,Manual,16.8,1497,113.4,5,1080000
5,52000,Dealer,Petrol,Manual,21.01,1197,81.8,5,575000
5,120000,Individual,Diesel,Manual,12.99,2494,100.6,8,950000
8,55000,Individual,Petrol,Manual,22.74,796,47.3,5,230000
10,160000,Individual,Diesel,Manual,21.9,1396,90.0,5,270000
10,40000,Individual,Petrol,Manual,15.6,1196,70.0,5,130000
9,46000,Dealer,Petrol,Manual,19.1,1197,85.8,5,370000
4,25000,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000
8,90000,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000
9,49566,Dealer,Petrol,Manual,18.5,1197,82.85,5,280000
3,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000
5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,590000
3,5000,Individual,Petrol,Automatic,23.1,998,67.04,5,475000
4,55000,Dealer,Diesel,Manual,23.0,1498,98.96,5,685000
9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000
3,22000,Individual,Petrol,Manual,23.01,999,67.0,5,330000
3,7671,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,650000
5,66000,Individual,Petrol,Manual,20.51,998,67.04,5,325000
3,45156,Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000
2,25000,Individual,Petrol,Manual,18.27,998,118.35,5,949000
6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,660000
7,28000,Dealer,Petrol,Manual,16.1,1197,85.0,5,435000
8,55000,Dealer,Diesel,Manual,21.9,1396,88.76,5,385000
2,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000
12,98780,Dealer,Petrol,Manual,18.9,998,67.1,5,155000
6,58000,Dealer,Diesel,Manual,25.2,1248,74.0,5,415000
10,30000,Individual,Petrol,Manual,20.92,998,67.1,5,251000
5,46400,Dealer,Diesel,Manual,15.4,2179,120.0,7,1150000
7,32111,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,310000
6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,350000
4,30000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1125000
5,63000,Dealer,Diesel,Automatic,18.59,2993,261.49,5,2600000
3,10000,Individual,Petrol,Manual,20.62,1198,67.0,7,480000
4,25000,Individual,Diesel,Automatic,28.4,1248,74.02,5,850000
4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000
3,35000,Dealer,Petrol,Manual,22.0,1197,81.8,5,575000
9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000
3,55000,Individual,Diesel,Manual,23.0,1498,98.96,5,925000
6,36000,Dealer,Petrol,Manual,18.9,1197,82.0,5,400000
5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000
7,35000,Individual,Diesel,Manual,23.4,1248,74.0,5,600000
8,95000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000
4,36000,Dealer,Diesel,Manual,25.83,1498,99.0,5,585000
2,50000,Individual,Petrol,Manual,21.79,998,67.05,5,411000
6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,450000
6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,1290000
6,46000,Dealer,Petrol,Manual,16.47,1198,74.0,5,455000
2,9000,Individual,Petrol,Manual,20.7,1197,81.86,5,710000
5,53000,Dealer,Petrol,Manual,16.8,1497,116.3,5,770000
3,11387,Individual,Diesel,Automatic,10.91,3198,197.0,7,2900000
3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,720000
5,52000,Dealer,Diesel,Manual,25.32,1198,77.0,5,375000
6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,400000
6,48000,Individual,Diesel,Manual,19.87,1461,83.8,5,600000
3,18000,Individual,Petrol,Manual,18.7,1199,88.7,5,600000
9,57413,Individual,LPG,Manual,14.4,998,61.7,5,270000
6,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000
6,55000,Dealer,Diesel,Manual,23.9,1582,126.2,5,650000
3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,660000
5,68000,Dealer,Diesel,Automatic,22.69,1995,190.0,5,2090000
1,8000,Dealer,Petrol,Manual,16.8,1497,113.4,5,1275000
6,65000,Dealer,Diesel,Manual,28.4,1248,74.0,5,495000
5,25000,Individual,Petrol,Manual,18.9,1197,82.0,5,475000
6,70000,Individual,Petrol,Manual,20.73,1373,91.1,5,530000
5,9500,Individual,Petrol,Manual,23.84,1199,84.0,5,530000
6,9100,Individual,Petrol,Manual,17.01,1591,121.3,5,650000
11,86000,Dealer,Petrol,Manual,17.0,1497,118.0,5,335000
8,78000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1290000
10,60000,Individual,Diesel,Manual,20.0,1399,68.0,5,300000
2,7883,Trustmark Dealer,Petrol,Automatic,21.5,1197,81.8,5,550000
8,50205,Trustmark Dealer,Diesel,Manual,23.4,1248,74.0,5,390000
13,220000,Individual,Diesel,Manual,13.6,2523,63.0,7,260000
4,58000,Dealer,Diesel,Manual,24.7,1047,69.0,5,395000
9,170000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000
3,15000,Individual,Petrol,Manual,22.0,1197,81.8,5,650000
5,71245,Dealer,Diesel,Manual,28.4,1248,74.0,5,375000
2,7000,Individual,Petrol,Manual,16.1,1353,138.0,5,1300000
3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,360000
1,8700,Individual,Petrol,Manual,21.63,998,67.04,5,505000
2,25000,Individual,Petrol,Manual,24.7,796,47.3,5,310000
6,42000,Dealer,Petrol,Manual,18.6,1197,81.86,5,545000
15,120000,Individual,Diesel,Manual,13.6,2523,63.0,7,150000
3,50000,Individual,Petrol,Manual,21.4,1197,83.1,5,580000
10,58000,Individual,Petrol,Manual,18.9,998,67.1,5,250000
4,36000,Individual,Petrol,Manual,17.43,1396,105.5,5,650000
3,30000,Individual,Diesel,Manual,25.47,1248,88.5,7,410000
6,162828,Dealer,Diesel,Manual,22.77,1498,98.59,5,531000
3,7500,Individual,Diesel,Manual,23.0,1498,98.96,5,890000
5,47227,Dealer,Diesel,Manual,14.0,2179,138.1,7,775000
3,52000,Dealer,CNG,Manual,33.54,998,67.04,5,435000
9,74000,Dealer,Diesel,Manual,20.0,1399,68.05,5,185000
10,47000,Dealer,Diesel,Manual,15.96,2523,62.1,7,440000
6,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,450000
4,100000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000
7,35000,Individual,Petrol,Manual,23.1,998,67.04,5,320000
5,50000,Individual,Diesel,Manual,21.19,1396,88.73,5,700000
3,10000,Individual,Petrol,Manual,18.16,1196,86.8,5,630000
5,10370,Individual,Petrol,Manual,22.74,796,47.3,5,320000
8,62000,Dealer,Petrol,Manual,16.8,1497,116.3,5,465000
5,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
4,60000,Individual,Petrol,Manual,22.0,1197,81.8,5,445000
8,67231,Dealer,Diesel,Manual,14.0,2179,138.1,7,705000
8,64000,Dealer,CNG,Manual,33.54,998,67.04,5,270000
7,63000,Dealer,Diesel,Manual,26.0,1498,98.6,5,475000
6,80000,Individual,Diesel,Manual,12.55,2982,168.5,7,1755000
10,55000,Dealer,Petrol,Manual,16.9,1497,100.0,5,350000
5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,575000
4,17000,Individual,Petrol,Manual,23.01,999,67.0,5,360000
4,25000,Individual,Petrol,Manual,24.7,796,47.3,5,275000
5,33350,Individual,Petrol,Manual,19.44,1198,67.0,7,320000
6,62000,Dealer,Petrol,Manual,18.9,1197,82.0,5,370000
12,59000,Individual,Petrol,Manual,17.5,1298,85.8,5,275000
7,86113,Dealer,Petrol,Manual,17.4,1497,117.3,5,550000
3,10000,Individual,Diesel,Manual,28.4,1248,74.02,5,750000
6,92537,Individual,Petrol,Manual,20.51,998,67.04,5,272000
2,27645,Dealer,Diesel,Manual,28.09,1248,88.5,5,951000
8,46242,Individual,Petrol,Manual,20.92,998,67.1,5,280000
8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000
1,6000,Individual,Petrol,Manual,22.3,799,53.26,5,450000
4,64000,Dealer,Petrol,Manual,18.6,1197,81.83,5,480000
4,93000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1060000
8,26200,Dealer,Petrol,Manual,22.74,796,47.3,5,235000
4,25000,Individual,Petrol,Manual,21.4,1197,83.1,5,590000
3,50000,Dealer,Diesel,Automatic,12.9,2755,174.5,7,2950000
13,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,110000
14,110000,Individual,Diesel,Manual,13.5,2179,115.0,5,280000
5,55000,Dealer,Petrol,Automatic,17.84,1395,147.51,5,1851000
3,25000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000
6,36000,Dealer,Petrol,Manual,18.9,1197,81.86,5,400000
6,40000,Individual,Diesel,Manual,26.59,1248,74.0,5,530000
3,25000,Individual,Diesel,Manual,16.55,2498,105.0,6,870000
3,30038,Dealer,Petrol,Manual,25.17,799,53.3,5,295000
4,53000,Individual,Diesel,Manual,27.28,1047,69.0,5,370000
3,5000,Individual,Petrol,Manual,21.21,1197,81.8,5,530000
4,35000,Individual,Petrol,Automatic,24.04,999,67.0,5,350000
8,62000,Dealer,Diesel,Manual,22.7,1498,89.84,5,470000
6,42000,Individual,Diesel,Manual,25.83,1498,99.0,5,390000
6,80000,Individual,Diesel,Manual,15.4,2179,120.0,7,920000
8,60000,Individual,Diesel,Manual,15.1,2179,140.0,7,550000
7,45000,Individual,Diesel,Manual,22.32,1582,126.32,5,635000
4,50000,Dealer,Diesel,Automatic,16.0,2179,140.0,7,1250000
3,12000,Individual,Petrol,Manual,24.7,796,47.3,5,300000
3,12000,Individual,Petrol,Automatic,18.0,1497,117.6,5,960000
3,15000,Individual,Diesel,Manual,24.3,1248,88.5,5,750000
10,63000,Dealer,Petrol,Manual,16.47,1198,73.9,5,249000
3,30000,Individual,Diesel,Manual,17.6,2179,153.86,7,1400000
10,160800,Individual,Diesel,Manual,20.0,1399,68.0,5,250000
7,120000,Individual,Diesel,Manual,22.32,1582,126.32,5,610000
5,78247,Dealer,Diesel,Manual,21.7,1498,98.96,5,545000
8,113000,Individual,Diesel,Manual,22.32,1582,126.3,5,480000
7,52000,Dealer,Petrol,Manual,18.6,1197,81.83,5,395000
9,109000,Dealer,Diesel,Manual,12.99,2494,100.6,7,495000
4,90000,Individual,Petrol,Manual,18.9,1197,82.0,5,470000
10,98000,Dealer,Diesel,Manual,22.07,1199,73.9,5,200000
5,20000,Individual,Diesel,Manual,21.19,1396,88.73,5,699000
7,21717,Individual,Petrol,Manual,20.51,998,67.04,5,340000
7,40000,Individual,Diesel,Manual,20.45,1461,83.8,5,500000
4,50000,Individual,Petrol,Manual,17.14,1497,117.6,5,1050000
5,90000,Individual,Diesel,Manual,19.6,1461,108.45,5,600000
4,27876,Dealer,Petrol,Manual,20.4,1197,81.8,5,491000
5,56000,Dealer,Petrol,Automatic,12.63,1999,177.0,5,2890000
13,57215,Individual,Petrol,Manual,20.36,1197,78.9,5,160000
2,5400,Dealer,Petrol,Manual,18.27,998,118.35,5,985000
7,60000,Individual,Diesel,Manual,23.4,1248,74.0,5,500000
4,24800,Individual,Petrol,Manual,23.84,1199,84.0,5,335000
16,70000,Individual,Petrol,Manual,19.7,796,46.3,5,85000
3,20000,Dealer,Petrol,Automatic,17.1,1199,88.51,5,740000
8,34553,Dealer,Petrol,Manual,22.0,1197,81.8,5,375000
3,40000,Individual,Diesel,Manual,24.3,1248,88.5,5,810000
11,350000,Individual,Petrol,Manual,16.47,1198,73.9,5,173000
4,50000,Individual,Diesel,Manual,24.3,1248,88.5,5,700000
5,70000,Individual,Diesel,Manual,25.32,1198,77.0,6,310000
4,120000,Individual,Diesel,Manual,15.4,1997,120.0,7,850000
8,90000,Individual,Diesel,Manual,22.54,1396,88.76,5,285000
7,120000,Individual,Diesel,Manual,23.4,1248,74.0,5,450000
4,80000,Individual,Diesel,Manual,19.67,1582,126.2,5,1100000
4,30000,Individual,Diesel,Manual,15.4,1997,120.0,7,1080000
7,66100,Dealer,Diesel,Manual,26.0,1498,98.6,5,530000
4,50000,Individual,Diesel,Manual,28.4,1248,74.02,5,680000
4,42000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1025000
4,55000,Individual,Petrol,Manual,18.6,1197,81.83,5,650000
9,110699,Dealer,Petrol,Manual,20.36,1197,78.9,5,194000
2,5000,Individual,Petrol,Automatic,21.4,1197,83.1,5,686000
5,50000,Individual,Petrol,Manual,22.74,796,47.3,5,200000
11,44000,Dealer,Petrol,Manual,19.1,1197,85.8,5,250000
3,90000,Individual,Diesel,Manual,24.3,1248,88.5,5,730000
5,55000,Dealer,Petrol,Manual,17.01,1591,121.3,5,650000
4,45000,Dealer,Diesel,Manual,24.3,1248,88.5,5,790000
4,30000,Individual,Petrol,Manual,21.4,1197,83.1,5,620000
8,50000,Individual,Petrol,Manual,17.01,1591,121.3,5,510000
8,20000,Individual,Petrol,Manual,15.37,1196,73.0,5,375000
4,19843,Trustmark Dealer,Petrol,Automatic,21.21,1197,81.8,5,620000
10,30000,Individual,Diesel,Automatic,11.4,2953,153.86,7,950000
4,52300,Dealer,Diesel,Manual,13.68,2393,147.51,7,1450000
5,40000,Individual,Petrol,Automatic,18.0,1497,117.3,5,845000
7,61500,Dealer,Diesel,Manual,23.4,1248,74.0,5,390000
6,59000,Dealer,Petrol,Manual,18.0,1198,86.7,5,395000
3,40000,Individual,Petrol,Manual,18.9,1197,81.86,5,450000
8,60000,Individual,Diesel,Automatic,17.68,1968,174.33,5,1700000
8,61000,Dealer,Petrol,Manual,18.9,1197,82.0,5,325000
5,70000,Individual,Diesel,Manual,25.32,1198,77.0,6,350000
8,63000,Dealer,Diesel,Manual,15.1,2179,140.0,7,650000
9,58000,Dealer,Petrol,Manual,12.3,1796,185.0,5,1250000
4,22000,Individual,Diesel,Manual,28.4,1248,74.02,5,750000
11,57977,Dealer,Petrol,Manual,17.0,1497,118.0,5,299000
3,13000,Dealer,Petrol,Automatic,12.19,1997,237.36,4,7000000
9,67000,Dealer,Petrol,Automatic,17.33,1998,189.08,4,1325000
7,48242,Dealer,Diesel,Manual,20.77,1248,88.76,7,524000
9,68000,Dealer,Diesel,Manual,20.0,1399,68.05,5,169000
7,40000,Individual,Diesel,Manual,20.77,1248,88.8,7,500000
9,98000,Dealer,Diesel,Automatic,12.07,2967,241.4,7,2000000
8,113450,Individual,Diesel,Manual,23.4,1248,74.0,5,380000
3,80000,Individual,Petrol,Automatic,20.51,998,67.0,5,400000
1,1000,Dealer,Petrol,Automatic,20.3,1086,68.0,5,565000
6,20292,Dealer,Petrol,Manual,20.51,998,67.04,5,335000
11,67900,Dealer,Diesel,Manual,12.05,2179,120.0,7,300000
6,40000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1051000
4,60000,Individual,Diesel,Manual,24.0,1186,73.97,5,510000
3,25000,Individual,Petrol,Automatic,24.04,999,67.0,5,370000
15,70000,Individual,Petrol,Manual,18.9,998,67.1,5,200000
3,21000,Individual,Diesel,Manual,27.39,1248,74.0,5,625000
3,39000,Dealer,Diesel,Manual,16.36,2179,140.0,7,1290000
4,30000,Dealer,Petrol,Manual,15.8,1591,121.3,5,890000
9,61000,Dealer,Diesel,Manual,22.32,1582,126.3,5,420000
4,5743,Trustmark Dealer,Petrol,Manual,20.4,1197,83.11,5,500000
3,24200,Individual,Petrol,Manual,18.9,1197,81.86,5,600000
4,57000,Individual,Diesel,Manual,27.39,1248,74.0,5,590000
10,58000,Dealer,Petrol,Manual,20.36,1197,78.9,5,190000
4,15000,Individual,Petrol,Manual,19.44,1198,67.0,7,500000
4,10000,Individual,Petrol,Manual,23.1,998,67.04,5,450000
6,100000,Individual,Diesel,Manual,15.1,2179,140.0,7,650000
1,2000,Dealer,Petrol,Automatic,11.29,2998,335.0,2,8250000
1,10000,Individual,Petrol,Manual,20.52,1197,81.8,5,500000
12,43000,Individual,Petrol,Manual,19.7,796,46.3,5,140000
8,64000,Dealer,CNG,Manual,18.0,1198,86.7,5,349000
7,30000,Individual,Petrol,Manual,20.51,998,67.06,5,325000
7,63000,Dealer,Petrol,Manual,17.8,1497,117.3,5,435000
3,28000,Dealer,CNG,Manual,31.79,998,58.33,5,455000
3,25000,Individual,Petrol,Automatic,9.17,2995,335.25,7,6200000
4,32226,Dealer,Petrol,Manual,17.8,1497,117.3,5,755000
7,65000,Individual,Petrol,Manual,23.95,998,67.05,5,245000
2,14000,Dealer,Diesel,Manual,20.8,1493,113.4,5,1350000
3,15000,Individual,Petrol,Automatic,24.04,999,67.0,5,310000
3,30000,Individual,Petrol,Automatic,14.28,1998,254.7,4,5500000
3,32000,Dealer,Diesel,Manual,19.3,1248,73.9,5,675000
2,30000,Individual,Petrol,Manual,20.52,1197,81.8,5,500000
11,25000,Individual,Petrol,Manual,20.36,1197,78.9,5,300000
5,35000,Individual,Diesel,Automatic,15.4,2179,120.0,7,1450000
8,140000,Individual,Diesel,Manual,12.05,2179,120.0,8,530000
7,65597,Trustmark Dealer,Diesel,Manual,22.7,1498,89.84,5,575000
4,35000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
7,160000,Individual,Diesel,Manual,26.21,1248,88.5,5,500000
1,7124,Individual,Petrol,Manual,21.01,1197,81.8,5,643000
2,15000,Individual,Petrol,Manual,18.1,999,123.24,5,1000000
5,34000,Individual,Petrol,Manual,18.9,1197,82.0,5,550000
10,280000,Individual,Diesel,Manual,20.54,1598,103.6,5,300000
3,40000,Individual,Petrol,Manual,20.3,1199,84.0,5,470000
7,77000,Dealer,Diesel,Manual,26.0,1498,98.6,5,525000
4,15000,Individual,Petrol,Manual,19.44,1198,67.0,7,469000
9,60000,Individual,Petrol,Manual,20.92,998,67.1,5,210000
8,120000,Individual,Petrol,Manual,22.74,796,47.3,5,200000
2,2500,Individual,Petrol,Manual,23.01,999,67.0,5,400000
8,50000,Dealer,Diesel,Automatic,16.36,2179,187.7,5,2150000
5,46500,Individual,Petrol,Manual,23.1,998,67.04,5,340000
16,5000,Individual,Petrol,Manual,19.7,796,46.3,5,95000
9,68000,Individual,Diesel,Manual,22.9,1248,74.0,5,381000
10,45000,Dealer,Diesel,Automatic,14.94,2143,204.0,5,775000
4,20000,Individual,Diesel,Manual,28.4,1248,74.02,5,700000
4,106000,Dealer,Diesel,Manual,28.09,1248,88.5,5,675000
6,28000,Dealer,Petrol,Automatic,18.0,1497,117.3,5,670000
3,50000,Individual,Diesel,Manual,16.0,2179,140.0,7,1050000
2,19000,Individual,Diesel,Automatic,13.38,2993,265.0,5,7900000
10,55000,Dealer,Petrol,Manual,17.0,1497,118.0,5,360000
4,53000,Individual,Diesel,Manual,25.83,1498,99.0,5,400000
7,89000,Dealer,Diesel,Manual,22.32,1582,126.32,5,470000
3,22000,Individual,Petrol,Manual,24.7,796,47.3,5,304000
7,69000,Dealer,Diesel,Manual,26.0,1498,98.6,5,490000
5,155000,Individual,Diesel,Manual,15.4,1997,120.0,7,864000
8,85000,Dealer,Diesel,Manual,16.0,2179,140.0,7,480000
2,3600,Dealer,Petrol,Automatic,20.52,1197,81.8,5,575000
2,5000,Individual,Petrol,Automatic,21.4,1197,83.1,5,686000
6,143000,Dealer,Diesel,Manual,12.99,2494,100.0,7,780000
3,24000,Dealer,Diesel,Automatic,17.68,1968,174.33,5,3490000
2,28000,Dealer,Diesel,Manual,17.41,1956,167.68,5,1699000
2,44000,Individual,Diesel,Manual,28.4,1248,74.0,5,800000
3,10000,Individual,Petrol,Automatic,21.4,1197,83.1,5,680000
11,200000,Individual,Diesel,Manual,11.5,2982,171.0,7,1200000
9,187031,Dealer,Diesel,Manual,12.99,2494,100.0,8,525000
2,22346,Dealer,Petrol,Manual,17.0,1497,121.36,5,955000
9,120000,Individual,Diesel,Manual,21.9,1396,90.0,5,350000
1,1000,Dealer,Petrol,Manual,17.03,1462,103.26,5,800000
16,56700,Individual,Petrol,Manual,19.7,796,46.3,5,75000
6,170000,Individual,Diesel,Manual,16.0,2179,140.0,7,825000
2,60000,Individual,Diesel,Manual,17.3,1497,121.0,8,1476000
3,40000,Dealer,Petrol,Automatic,18.2,1199,88.7,5,670000
9,28000,Dealer,Petrol,Manual,19.7,796,46.3,5,180000
4,35000,Individual,Petrol,Manual,18.9,1197,81.86,5,490000
4,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,550000
7,40000,Individual,Petrol,Manual,20.36,1197,78.9,5,350000
2,35000,Individual,Diesel,Manual,13.68,2393,147.8,8,1500000
9,74000,Dealer,Diesel,Manual,20.0,1399,68.05,5,190000
7,46500,Individual,Diesel,Manual,20.45,1461,83.8,5,460000
2,8000,Dealer,Petrol,Automatic,21.21,1197,81.8,5,650000
5,120000,Individual,Diesel,Manual,28.09,1248,88.5,5,700000
4,34000,Individual,Petrol,Manual,20.4,1197,81.8,5,455000
7,54000,Dealer,Petrol,Manual,22.0,1197,81.8,5,365000
7,11275,Dealer,Petrol,Manual,19.1,1197,85.8,5,470000
3,35000,Dealer,Diesel,Automatic,12.9,2755,174.5,7,2950000
9,48000,Individual,Diesel,Manual,22.9,1248,74.0,5,400000
6,68000,Dealer,Diesel,Manual,19.87,1461,83.8,5,550000
2,23000,Dealer,Petrol,Automatic,13.9,1799,130.2,5,1519000
3,31500,Individual,Diesel,Automatic,28.4,1248,74.02,5,740000
8,73000,Dealer,Diesel,Manual,25.8,1498,98.6,5,325000
1,10000,Individual,Petrol,Automatic,20.7,1197,81.86,5,600000
8,208000,Individual,Diesel,Manual,25.8,1498,98.6,5,300000
11,30000,Individual,Petrol,Manual,20.36,1197,78.9,5,300000
5,83000,Dealer,CNG,Manual,26.6,998,58.16,5,345000
3,60000,Individual,Diesel,Manual,15.4,2523,75.0,7,900000
5,83000,Dealer,Diesel,Manual,16.0,1997,140.0,7,1025000
4,58132,Dealer,Diesel,Manual,12.4,2499,134.0,5,1450000
6,34000,Individual,Petrol,Manual,20.4,1197,81.8,5,400000
