model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
City,6,58000,Dealer,Petrol,Manual,17.8,1497,117.3,5,620000
6,6,25000,Dealer,Diesel,Automatic,9.52,2993,313.0,4,4490000
A4,7,60000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1275000
Verna,3,60000,Individual,Diesel,Manual,22.0,1582,126.2,5,1150000
i10,11,80000,Individual,Petrol,Manual,20.36,1197,78.9,5,160000
Polo,7,40266,Dealer,Diesel,Manual,22.07,1199,73.9,5,475000
Creta,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000
Swift Dzire,5,20000,Individual,Diesel,Manual,26.59,1248,74.0,5,620000
Swift Dzire,5,20000,Individual,Petrol,Manual,20.85,1197,83.14,5,525000
Alto,8,71239,Dealer,Petrol,Manual,22.74,796,47.3,5,260000
i20,7,52000,Dealer,Petrol,Manual,18.6,1197,81.83,5,395000
Ertiga,4,80000,Individual,Diesel,Manual,24.52,1248,88.5,7,725000
Verna,8,50000,Individual,Diesel,Manual,22.32,1582,126.32,5,620000
i20,9,41890,Dealer,Petrol,Manual,17.0,1197,80.0,5,300000
Grand,7,35000,Individual,Petrol,Manual,18.9,1197,82.0,5,425000
KWID,3,30000,Individual,Petrol,Manual,25.17,799,53.3,5,320000
Alto,11,70000,Individual,Petrol,Manual,19.7,796,46.3,5,135000
Grand,7,49000,Dealer,Petrol,Automatic,18.9,1197,81.86,5,475000
X1,10,210000,Dealer,Diesel,Automatic,17.05,1995,184.0,5,800000
Grand,5,60000,Individual,Petrol,Automatic,18.9,1197,81.86,5,400000
KWID,4,35000,Individual,Petrol,Automatic,24.04,999,67.0,5,350000
Figo,10,40000,Dealer,Petrol,Manual,15.6,1196,70.0,5,355000
Innova,3,79774,Individual,Diesel,Manual,13.68,2393,147.8,7,1280000
Swift Dzire,2,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,710000
City,9,43120,Dealer,Petrol,Manual,16.8,1497,116.3,5,400000
GL-Class,8,51000,Dealer,Diesel,Automatic,12.0,2987,221.3,7,3100000
Alto,3,40000,Individual,Petrol,Manual,23.95,998,67.05,5,350000
Figo,4,42267,Dealer,Diesel,Manual,25.83,1498,99.0,5,600000
Figo,9,23207,Dealer,Petrol,Manual,15.6,1196,70.0,5,220000
Swift,4,40000,Dealer,Petrol,Manual,22.0,1197,81.8,5,515000
E-Class,8,30000,Dealer,Petrol,Manual,12.3,1796,185.0,5,1350000
i10,12,81000,Dealer,Petrol,Manual,19.81,1086,68.05,5,190000
Baleno,5,37072,Dealer,Petrol,Manual,21.4,1197,83.1,5,615000
Creta,3,20000,Individual,Diesel,Manual,21.38,1396,88.7,5,1000000
i20,9,79330,Dealer,Petrol,Manual,17.0,1197,80.0,5,375000
i20,9,55000,Dealer,Petrol,Manual,18.5,1197,80.0,5,265000
Ecosport,3,29100,Dealer,Diesel,Manual,21.7,1498,98.96,5,1100000
i10,8,80000,Dealer,Petrol,Manual,20.36,1197,78.9,5,255000
Swift Dzire,9,112000,Individual,Diesel,Manual,23.4,1248,74.0,5,550000
Swift,9,76000,Dealer,Diesel,Manual,22.9,1248,74.0,5,440000
Polo,8,73000,Dealer,Diesel,Manual,22.07,1199,73.9,5,420000
i20,3,12000,Dealer,Petrol,Automatic,17.4,1197,81.86,5,890000
Hexa,4,93000,Dealer,Diesel,Manual,17.6,2179,153.86,7,985000
Polo,7,43000,Dealer,Petrol,Manual,16.47,1198,73.9,5,525000
Swift,9,85508,Dealer,Petrol,Manual,18.6,1197,85.8,5,425000
City,4,47000,Individual,Diesel,Manual,25.6,1498,97.9,5,1000000
KUV,4,94000,Individual,Petrol,Manual,18.15,1198,82.0,6,315000
Baleno,3,19000,Dealer,Petrol,Automatic,19.56,1197,81.8,5,699000
Bolero,6,58480,Individual,Diesel,Manual,15.96,2523,62.1,7,551000
Ertiga,6,120000,Individual,Diesel,Manual,20.77,1248,88.76,7,616000
i10,10,58000,Dealer,Petrol,Manual,20.36,1197,78.9,5,210000
i20,6,30000,Individual,Diesel,Manual,22.54,1396,88.73,5,550000
Figo,10,90000,Individual,Diesel,Manual,20.0,1399,68.0,5,230000
Vitara,3,93550,Dealer,Diesel,Automatic,24.3,1248,88.5,5,875000
RediGO,3,49000,Dealer,Petrol,Manual,22.7,799,53.64,5,295000
Polo,2,20000,Individual,Petrol,Manual,18.78,999,75.0,5,550000
Creta,5,56000,Individual,Diesel,Manual,19.67,1582,126.2,5,875000
Fortuner,9,74896,Dealer,Diesel,Manual,12.55,2982,168.5,7,1400000
Swift,10,94991,Dealer,Petrol,Manual,18.6,1197,85.8,5,315000
GL-Class,5,40000,Dealer,Diesel,Automatic,17.9,2143,168.0,5,3500000
Aspire,5,55000,Individual,Petrol,Manual,18.16,1196,86.8,5,460000
Swift Dzire,3,54400,Dealer,Diesel,Manual,19.3,1248,73.9,5,580000
Amaze,8,45000,Dealer,Petrol,Manual,18.0,1198,86.7,5,350000
i20,8,90000,Individual,Diesel,Manual,21.9,1396,88.76,5,300000
Jazz,6,15000,Dealer,Petrol,Manual,18.7,1199,88.7,5,561000
3,6,56000,Dealer,Diesel,Automatic,19.59,1995,187.74,5,2675000
i20,6,90000,Individual,Diesel,Manual,22.54,1396,88.73,5,650000
Thar,3,36000,Dealer,Diesel,Manual,18.06,2523,63.0,7,745000
Alto,11,70000,Individual,Petrol,Manual,19.7,796,46.3,5,135000
S-Class,2,18000,Dealer,Petrol,Automatic,7.81,2996,362.07,5,11000000
Swift Dzire,4,75000,Dealer,Diesel,Manual,23.4,1248,74.0,5,745000
City,2,10000,Dealer,Petrol,Automatic,17.4,1497,117.6,5,1350000
redi-GO,3,6000,Dealer,Petrol,Automatic,22.0,999,67.05,5,435000
Swift,3,30000,Individual,Petrol,Manual,22.0,1197,81.8,5,550000
Verna,3,35522,Dealer,Diesel,Manual,22.0,1582,126.2,5,885000
Nexon,2,6000,Individual,Petrol,Manual,17.0,1198,108.5,5,750000
City,6,56000,Individual,Diesel,Manual,25.1,1498,98.6,5,690000
City,3,26000,Dealer,Petrol,Automatic,18.0,1497,117.6,5,1125000
Polo,6,20000,Dealer,Petrol,Manual,16.47,1198,74.0,5,499000
Innova,5,70001,Dealer,Diesel,Manual,12.99,2494,100.6,7,975000
Swift,6,82250,Dealer,Diesel,Manual,28.4,1248,74.0,5,525000
Ignis,4,8600,Individual,Petrol,Manual,20.89,1197,81.8,5,600000
Wagon R,5,63200,Dealer,Petrol,Manual,20.51,998,67.04,5,375000
7,11,64000,Dealer,Petrol,Automatic,8.77,4395,402.0,5,1499000
Swift Dzire,5,90000,Individual,Petrol,Manual,20.85,1197,83.14,5,550000
Camry,5,85000,Dealer,Electric,Automatic,19.16,2494,157.7,5,1865000
Innova,8,75000,Dealer,Diesel,Manual,12.8,2494,102.0,7,650000
Swift Dzire,6,96000,Individual,Diesel,Manual,26.59,1248,74.0,5,450000
Scorpio,7,60000,Individual,Diesel,Manual,15.4,2179,120.0,7,851000
Grand,7,30589,Trustmark Dealer,Petrol,Manual,18.9,1197,81.86,5,385000
Ertiga,4,49000,Dealer,CNG,Manual,17.5,1373,80.46,7,775000
Ertiga,2,45000,Individual,Diesel,Manual,25.47,1248,88.5,7,980000
Innova,4,60000,Individual,Diesel,Automatic,11.36,2755,171.5,7,1800000
City,5,51000,Dealer,Petrol,Manual,17.8,1497,117.3,5,670000
Verna,3,35512,Dealer,Diesel,Manual,22.32,1582,126.3,5,885000
Camry,6,64000,Dealer,Electric,Automatic,19.16,2494,157.7,5,1699000
5,6,55121,Dealer,Diesel,Automatic,18.48,1995,177.0,5,2111000
City,7,75000,Dealer,Petrol,Manual,17.4,1497,117.6,5,537000
Jazz,6,64000,Individual,Petrol,Automatic,19.0,1199,88.7,5,551000
Fortuner,8,189000,Individual,Diesel,Manual,13.0,2982,168.5,7,1400000
City,4,46497,Dealer,Petrol,Automatic,18.0,1497,117.6,5,930000
Celerio,2,30000,Dealer,Petrol,Manual,21.63,998,67.04,5,420000
Endeavour,9,60000,Individual,Diesel,Manual,13.1,2499,141.0,7,1000000
Vento,6,51000,Dealer,Diesel,Automatic,22.15,1498,108.6,5,585000
Amaze,7,57432,Dealer,Petrol,Manual,18.0,1198,86.7,5,365000
Amaze,3,50000,Individual,Petrol,Manual,17.8,1198,86.7,5,550000
Santro,10,174926,Individual,Petrol,Manual,17.92,1086,62.1,5,150000
Wagon R,6,30000,Individual,Petrol,Automatic,20.51,998,67.04,5,330000
Vitara,1,16000,Dealer,Diesel,Automatic,24.3,1248,88.5,5,1125000
Tiago,4,52532,Dealer,Petrol,Manual,23.84,1199,84.0,5,450000
Grand,6,10000,Individual,Petrol,Manual,18.9,1197,82.0,5,450000
Figo,10,38256,Dealer,Petrol,Manual,15.6,1196,70.0,5,220000
Ecosport,4,120000,Individual,Diesel,Manual,22.77,1498,98.59,5,680000
Kicks,1,7500,Individual,Diesel,Manual,20.45,1461,108.5,5,850000
6,2,2300,Individual,Diesel,Automatic,17.09,1995,188.0,4,5899000
City,12,65000,Dealer,Petrol,Manual,17.0,1497,118.0,5,272000
Verna,9,61000,Dealer,Diesel,Manual,22.32,1582,126.3,5,420000
Creta,3,62000,Dealer,Diesel,Manual,22.1,1396,88.7,5,925000
Grand,2,25000,Individual,Petrol,Manual,18.9,1197,81.86,5,550000
i20,3,23000,Dealer,Petrol,Manual,18.6,1197,81.83,5,695000
Ertiga,6,98000,Dealer,Diesel,Manual,25.47,1248,88.5,7,750000
Endeavour,2,18000,Dealer,Diesel,Automatic,10.91,3198,197.0,7,2725000
Ignis,4,32334,Dealer,Petrol,Automatic,20.89,1197,81.8,5,550000
Alto,2,32895,Dealer,Petrol,Manual,22.05,796,47.3,5,300000
i20,5,38900,Individual,Petrol,Manual,18.6,1197,81.83,5,580000
Grand,4,37850,Dealer,Petrol,Manual,18.9,1197,81.86,5,568000
Grand,6,30000,Dealer,Petrol,Manual,18.9,1197,82.0,5,495000
Duster,8,61000,Dealer,Diesel,Manual,19.87,1461,83.8,5,450000
Swift Dzire,3,36787,Dealer,Petrol,Manual,22.0,1197,81.8,5,650000
6,12,65000,Dealer,Petrol,Automatic,7.94,4395,450.0,4,1500000
Amaze,8,119462,Dealer,Diesel,Manual,24.7,1498,98.63,5,425000
KWID,5,21200,Dealer,Petrol,Manual,22.3,799,53.26,5,345000
i10,10,68000,Individual,Petrol,Manual,20.36,1197,78.9,5,250000
City,12,70000,Individual,Petrol,Automatic,16.8,1497,118.0,5,280000
Eeco,2,1500,Individual,Petrol,Manual,15.37,1196,73.0,5,380000
XC60,8,95000,Dealer,Diesel,Automatic,14.7,1984,181.0,5,1600000
Figo,6,120000,Individual,Diesel,Manual,20.0,1399,68.05,5,280000
Innova,14,150000,Individual,Diesel,Manual,12.8,2494,102.0,8,600000
Amaze,7,80000,Dealer,Diesel,Manual,25.8,1498,98.6,5,375000
Octavia,6,61348,Dealer,Diesel,Automatic,19.3,1968,141.0,5,1000000
i20,4,14000,Individual,Petrol,Manual,18.6,1197,81.83,5,525000
Baleno,3,38340,Dealer,Diesel,Manual,27.39,1248,74.0,5,790000
A4,4,53700,Individual,Diesel,Automatic,18.25,1968,187.74,5,1760000
Freestyle,3,35000,Individual,Petrol,Manual,19.0,1194,94.68,5,650000
Swift Dzire,9,37801,Dealer,Petrol,Manual,17.5,1298,85.8,5,500000
GO,5,15000,Individual,Petrol,Manual,19.44,1198,67.0,7,350000
Rover,3,38000,Dealer,Diesel,Automatic,18.0,2993,255.0,7,3980000
i20,2,31800,Dealer,Diesel,Manual,22.54,1396,88.76,5,730000
Alto,15,74650,Dealer,Petrol,Manual,19.7,796,46.3,5,140000
Ecosport,7,60000,Dealer,Diesel,Manual,22.7,1498,89.84,5,460000
Bolero,9,120000,Individual,Diesel,Manual,15.96,2523,62.1,7,365000
Alto,6,35236,Dealer,Petrol,Manual,22.74,796,47.3,5,300000
Creta,6,73000,Dealer,Petrol,Manual,15.29,1591,121.3,5,790000
XUV500,9,70000,Dealer,Diesel,Manual,15.1,2179,140.0,7,740000
i20,10,78000,Dealer,Diesel,Manual,23.0,1396,90.0,5,325000
Alto,9,52000,Dealer,Petrol,Manual,24.7,796,47.3,5,195000
Santro,3,30650,Dealer,CNG,Manual,30.48,1086,59.18,5,480000
Grand,2,36000,Dealer,Petrol,Manual,18.9,1197,81.86,5,495000
Ciaz,4,46991,Dealer,Diesel,Manual,28.09,1248,88.5,5,703000
Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,360000
Alto,10,68000,Dealer,Petrol,Manual,20.92,998,67.1,5,265000
Alto,10,50000,Individual,Petrol,Manual,20.92,998,67.1,5,275000
Endeavour,3,25000,Individual,Diesel,Automatic,10.91,3198,197.0,7,3000000
RediGO,4,23000,Dealer,Petrol,Manual,22.7,799,53.64,5,310000
KWID,3,48353,Dealer,Petrol,Manual,25.17,799,53.3,5,247000
City,7,39000,Dealer,Petrol,Automatic,18.0,1497,117.3,5,695000
Baleno,3,60000,Dealer,Diesel,Manual,27.39,1248,74.0,5,850000
5,9,72133,Dealer,Diesel,Automatic,16.73,2993,218.0,5,1675000
Safari,6,120000,Individual,Diesel,Manual,14.0,2179,138.1,7,620000
Safari,4,76759,Dealer,Diesel,Manual,14.1,2179,147.94,7,835000
CR-V,3,13868,Dealer,Petrol,Automatic,13.1,1997,141.1,5,3200000
Rapid,6,70000,Individual,Diesel,Manual,21.14,1498,103.52,5,450000
Grand,7,84566,Dealer,Diesel,Manual,24.0,1186,73.97,5,360000
Creta,2,35000,Individual,Diesel,Manual,22.1,1396,88.7,5,1000000
i20,6,70000,Individual,Diesel,Manual,22.54,1396,88.73,5,650000
Swift,8,26000,Dealer,Diesel,Manual,28.4,1248,74.0,5,365000
Swift,4,52920,Dealer,Petrol,Manual,21.21,1197,81.8,5,638000
Fortuner,7,61000,Dealer,Diesel,Automatic,12.55,2982,168.5,7,1690000
Verna,9,74000,Dealer,Petrol,Manual,17.1,1591,121.3,5,415000
Innova,10,68830,Dealer,Diesel,Manual,12.8,2494,102.0,7,685000
Swift Dzire,12,76963,Individual,Petrol,Manual,17.5,1298,85.8,5,230000
Figo,8,44000,Dealer,Diesel,Manual,20.0,1399,68.1,5,235000
Innova,6,82000,Dealer,Diesel,Manual,12.99,2494,100.6,7,1299000
Verna,9,88500,Dealer,Diesel,Manual,22.32,1582,126.32,5,550000
Alto,2,10000,Individual,Petrol,Manual,23.95,998,67.1,5,360000
Swift,6,64366,Dealer,Diesel,Manual,28.4,1248,74.0,5,468000
Wagon R,5,26000,Dealer,Petrol,Manual,18.9,998,67.1,5,375000
Alto,4,2700,Dealer,Petrol,Manual,23.95,998,67.05,5,376000
Scorpio,4,51000,Individual,Diesel,Manual,15.4,1997,120.0,7,1200000
i10,9,70000,Individual,Petrol,Manual,20.36,1197,78.9,5,200000
i10,9,64000,Dealer,Petrol,Manual,20.36,1197,78.9,5,395000
Swift Dzire,7,75854,Dealer,Diesel,Manual,23.4,1248,74.0,5,341000
Innova,8,106000,Dealer,Diesel,Manual,12.99,2494,100.6,8,950000
Amaze,6,33000,Dealer,Petrol,Manual,18.0,1198,86.7,5,425000
i10,6,40000,Individual,Petrol,Manual,19.81,1086,68.05,5,325000
i10,9,36000,Individual,Petrol,Manual,19.81,1086,68.05,5,215000
Bolero,4,70000,Individual,Diesel,Manual,16.5,1493,70.0,7,650000
i10,12,79497,Dealer,Petrol,Manual,20.36,1197,78.9,5,275000
X5,5,48000,Dealer,Diesel,Automatic,15.97,2993,258.0,5,4495000
i10,11,53000,Individual,Petrol,Manual,20.36,1197,78.9,5,170000
City,7,110000,Individual,Diesel,Manual,26.0,1498,98.6,5,490000
5,5,42000,Dealer,Diesel,Automatic,18.12,1995,190.0,5,2675000
Hexa,4,53000,Dealer,Diesel,Automatic,17.6,2179,153.86,7,1050000
Endeavour,11,80000,Individual,Diesel,Automatic,11.4,2953,153.86,7,750000
Creta,4,7900,Dealer,Petrol,Manual,15.29,1591,121.3,5,1175000
Grand,5,13229,Trustmark Dealer,Petrol,Manual,18.9,1197,82.0,5,500000
Grand,7,40000,Individual,Petrol,Manual,18.9,1197,82.0,5,540000
Rapid,7,74571,Dealer,Diesel,Manual,20.5,1598,105.0,5,475000
City,10,93292,Dealer,Petrol,Manual,17.0,1497,118.0,5,400000
i20,4,27240,Dealer,Petrol,Manual,17.19,1197,81.86,5,642000
Endeavour,4,79000,Dealer,Diesel,Automatic,10.91,3198,197.0,7,2750000
Scorpio,5,46400,Dealer,Diesel,Manual,15.4,2179,120.0,7,1150000
i20,5,50000,Dealer,Petrol,Manual,18.6,1197,81.83,5,500000
Innova,9,187031,Dealer,Diesel,Manual,12.99,2494,100.0,8,525000
i10,10,50000,Dealer,Petrol,Manual,20.36,1197,78.9,5,300000
Grand,6,10000,Individual,Petrol,Manual,18.9,1197,82.0,5,350000
i20,10,71000,Dealer,Diesel,Manual,22.54,1396,88.76,5,329000
Vitara,3,40000,Individual,Diesel,Manual,24.3,1248,88.5,5,900000
City,5,129000,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000
Polo,3,9339,Dealer,Petrol,Manual,18.78,999,75.0,5,750000
i20,3,40000,Individual,Petrol,Automatic,17.4,1197,81.86,5,790000
C-Class,10,10948,Dealer,Diesel,Automatic,14.84,2143,167.62,5,1350000
S-Presso,2,5000,Individual,Petrol,Manual,21.7,998,67.0,5,420000
Marazzo,2,50000,Individual,Diesel,Manual,17.3,1497,121.0,8,1450000
City,4,24024,Dealer,Petrol,Manual,17.8,1497,117.3,5,750000
Fortuner,9,150000,Dealer,Diesel,Automatic,11.5,2982,169.0,7,1400000
City,8,80400,Dealer,Petrol,Automatic,16.8,1497,116.4,5,550000
Creta,5,62000,Individual,Diesel,Manual,19.67,1582,126.2,5,1150000
KWID,4,10000,Individual,Petrol,Manual,23.01,999,67.0,5,400000
Civic,11,100000,Individual,Petrol,Automatic,12.9,1799,130.0,5,275000
Harrier,2,16700,Dealer,Diesel,Manual,17.0,1956,138.1,5,1725000
Elantra,7,62000,Dealer,Diesel,Automatic,14.62,1493,113.42,5,690000
XL6,2,12005,Dealer,Petrol,Automatic,17.99,1462,103.2,6,1200000
Alto,5,10000,Individual,Petrol,Manual,23.95,998,67.05,5,300000
Ecosport,4,29104,Trustmark Dealer,Petrol,Manual,15.9,1496,120.69,5,625000
Polo,10,78800,Dealer,Diesel,Manual,22.07,1199,73.9,5,220000
Ciaz,6,67927,Dealer,Petrol,Manual,20.73,1373,91.1,5,650000
Bolero,13,500000,Individual,Diesel,Manual,13.6,2523,63.0,7,200000
Tiago,4,60000,Individual,Petrol,Manual,23.84,1199,84.0,5,380000
Alto,6,38000,Dealer,Petrol,Manual,22.74,796,47.3,5,245000
Verna,2,22000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1375000
GO,5,52000,Individual,Petrol,Manual,19.44,1198,67.0,7,320000
Baleno,5,52427,Dealer,Petrol,Automatic,21.4,1197,83.1,5,590000
Swift Dzire,3,70000,Individual,Petrol,Manual,22.0,1197,81.8,5,550000
Superb,8,49944,Dealer,Petrol,Manual,13.14,1798,160.0,5,470000
Verna,9,60002,Dealer,Diesel,Automatic,16.2,1493,110.0,5,550000
Swift,12,63000,Dealer,Petrol,Manual,16.1,1197,85.0,5,220000
