model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Innova,5,120000,Individual,Diesel,Manual,12.99,2494,100.6,8,950000
Alto,8,55000,Individual,Petrol,Manual,22.74,796,47.3,5,230000
i20,10,160000,Individual,Diesel,Manual,21.9,1396,90.0,5,270000
Figo,10,40000,Individual,Petrol,Manual,15.6,1196,70.0,5,130000
Swift Dzire,9,46000,Dealer,Petrol,Manual,19.1,1197,85.8,5,370000
Baleno,4,25000,Dealer,Petrol,Manual,21.4,1197,83.1,5,570000
Polo,8,90000,Dealer,Diesel,Manual,22.07,1199,73.9,5,365000
i20,9,49566,Dealer,Petrol,Manual,18.5,1197,82.85,5,280000
Verna,3,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000
i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,590000
Celerio,3,5000,Individual,Petrol,Automatic,23.1,998,67.04,5,475000
Ecosport,4,55000,Dealer,Diesel,Manual,23.0,1498,98.96,5,685000
Verna,9,65000,Dealer,Diesel,Automatic,19.08,1582,126.32,5,380000
KWID,3,22000,Individual,Petrol,Manual,23.01,999,67.0,5,330000
Baleno,3,7671,Trustmark Dealer,Petrol,Manual,21.01,1197,81.8,5,650000
Wagon R,5,66000,Individual,Petrol,Manual,20.51,998,67.04,5,325000
Swift Dzire,3,45156,Dealer,Petrol,Automatic,21.21,1197,81.8,5,640000
Venue,2,25000,Individual,Petrol,Manual,18.27,998,118.35,5,949000
Verna,6,120000,Individual,Diesel,Manual,23.9,1582,126.2,5,660000
Swift,7,28000,Dealer,Petrol,Manual,16.1,1197,85.0,5,435000
i20,8,55000,Dealer,Diesel,Manual,21.9,1396,88.76,5,385000
Verna,2,14000,Dealer,Diesel,Automatic,22.0,1582,126.2,5,1250000
Wagon R,12,98780,Dealer,Petrol,Manual,18.9,998,67.1,5,155000
Swift,6,58000,Dealer,Diesel,Manual,25.2,1248,74.0,5,415000
Alto,10,30000,Individual,Petrol,Manual,20.92,998,67.1,5,251000
Scorpio,5,46400,Dealer,Diesel,Manual,15.4,2179,120.0,7,1150000
i10,7,32111,Trustmark Dealer,Petrol,Manual,19.81,1086,68.05,5,310000
GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,350000
Scorpio,4,30000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1125000
5,5,63000,Dealer,Diesel,Automatic,18.59,2993,261.49,5,2600000
GO,3,10000,Individual,Petrol,Manual,20.62,1198,67.0,7,480000
Swift Dzire,4,25000,Individual,Diesel,Automatic,28.4,1248,74.02,5,850000
Creta,4,102000,Dealer,Diesel,Automatic,17.01,1582,126.2,5,1100000
Swift,3,35000,Dealer,Petrol,Manual,22.0,1197,81.8,5,575000
Swift Dzire,9,49948,Dealer,Petrol,Manual,17.5,1298,85.8,5,340000
Ecosport,3,55000,Individual,Diesel,Manual,23.0,1498,98.96,5,925000
Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,82.0,5,400000
City,5,49625,Dealer,Petrol,Manual,17.8,1497,117.3,5,725000
Swift Dzire,7,35000,Individual,Diesel,Manual,23.4,1248,74.0,5,600000
Scorpio,8,95000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000
Aspire,4,36000,Dealer,Diesel,Manual,25.83,1498,99.0,5,585000
Wagon R,2,50000,Individual,Petrol,Manual,21.79,998,67.05,5,411000
Swift Dzire,6,26500,Individual,Petrol,Manual,20.85,1197,83.14,5,450000
CR-V,6,80000,Dealer,Petrol,Automatic,13.7,1997,153.86,5,1290000
Polo,6,46000,Dealer,Petrol,Manual,16.47,1198,74.0,5,455000
Grand,2,9000,Individual,Petrol,Manual,20.7,1197,81.86,5,710000
City,5,53000,Dealer,Petrol,Manual,16.8,1497,116.3,5,770000
Endeavour,3,11387,Individual,Diesel,Automatic,10.91,3198,197.0,7,2900000
Amaze,3,50000,Individual,Diesel,Manual,25.8,1498,98.6,5,720000
KUV,5,52000,Dealer,Diesel,Manual,25.32,1198,77.0,5,375000
GO,6,35000,Individual,Petrol,Manual,19.44,1198,67.0,7,400000
Duster,6,48000,Individual,Diesel,Manual,19.87,1461,83.8,5,600000
Jazz,3,18000,Individual,Petrol,Manual,18.7,1199,88.7,5,600000
Wagon R,9,57413,Individual,LPG,Manual,14.4,998,61.7,5,270000
i20,6,30000,Individual,Petrol,Manual,18.6,1197,81.83,5,500000
Verna,6,55000,Dealer,Diesel,Manual,23.9,1582,126.2,5,650000
Swift,3,10000,Individual,Petrol,Automatic,21.21,1197,81.8,5,660000
3,5,68000,Dealer,Diesel,Automatic,22.69,1995,190.0,5,2090000
Seltos,1,8000,Dealer,Petrol,Manual,16.8,1497,113.4,5,1275000
Swift,6,65000,Dealer,Diesel,Manual,28.4,1248,74.0,5,495000
Grand,5,25000,Individual,Petrol,Manual,18.9,1197,82.0,5,475000
Ciaz,6,70000,Individual,Petrol,Manual,20.73,1373,91.1,5,530000
Tiago,5,9500,Individual,Petrol,Manual,23.84,1199,84.0,5,530000
Verna,6,9100,Individual,Petrol,Manual,17.01,1591,121.3,5,650000
City,11,86000,Dealer,Petrol,Manual,17.0,1497,118.0,5,335000
A4,8,78000,Dealer,Diesel,Automatic,16.55,1968,147.51,5,1290000
Figo,10,60000,Individual,Diesel,Manual,20.0,1399,68.0,5,300000
Wagon R,2,7883,Trustmark Dealer,Petrol,Automatic,21.5,1197,81.8,5,550000
Swift Dzire,8,50205,Trustmark Dealer,Diesel,Manual,23.4,1248,74.0,5,390000
Bolero,13,220000,Individual,Diesel,Manual,13.6,2523,63.0,7,260000
Tigor,4,58000,Dealer,Diesel,Manual,24.7,1047,69.0,5,395000
Scorpio,9,170000,Individual,Diesel,Manual,12.05,2179,120.0,8,550000
Swift Dzire,3,15000,Individual,Petrol,Manual,22.0,1197,81.8,5,650000
Swift,5,71245,Dealer,Diesel,Manual,28.4,1248,74.0,5,375000
Seltos,2,7000,Individual,Petrol,Manual,16.1,1353,138.0,5,1300000
Alto,3,20000,Individual,Petrol,Manual,23.95,998,67.05,5,360000
Celerio,1,8700,Individual,Petrol,Manual,21.63,998,67.04,5,505000
Alto,2,25000,Individual,Petrol,Manual,24.7,796,47.3,5,310000
i20,6,42000,Dealer,Petrol,Manual,18.6,1197,81.86,5,545000
Bolero,15,120000,Individual,Diesel,Manual,13.6,2523,63.0,7,150000
Baleno,3,50000,Individual,Petrol,Manual,21.4,1197,83.1,5,580000
Wagon R,10,58000,Individual,Petrol,Manual,18.9,998,67.1,5,250000
Verna,4,36000,Individual,Petrol,Manual,17.43,1396,105.5,5,650000
Ertiga,3,30000,Individual,Diesel,Manual,25.47,1248,88.5,7,410000
Ecosport,6,162828,Dealer,Diesel,Manual,22.77,1498,98.59,5,531000
Ecosport,3,7500,Individual,Diesel,Manual,23.0,1498,98.96,5,890000
Safari,5,47227,Dealer,Diesel,Manual,14.0,2179,138.1,7,775000
Wagon R,3,52000,Dealer,CNG,Manual,33.54,998,67.04,5,435000
Figo,9,74000,Dealer,Diesel,Manual,20.0,1399,68.05,5,185000
Bolero,10,47000,Dealer,Diesel,Manual,15.96,2523,62.1,7,440000
i20,6,50000,Individual,Petrol,Manual,18.6,1197,81.83,5,450000
Baleno,4,100000,Individual,Petrol,Manual,21.4,1197,83.1,5,600000
Celerio,7,35000,Individual,Petrol,Manual,23.1,998,67.04,5,320000
i20,5,50000,Individual,Diesel,Manual,21.19,1396,88.73,5,700000
Aspire,3,10000,Individual,Petrol,Manual,18.16,1196,86.8,5,630000
Alto,5,10370,Individual,Petrol,Manual,22.74,796,47.3,5,320000
City,8,62000,Dealer,Petrol,Manual,16.8,1497,116.3,5,465000
i20,5,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
Swift,4,60000,Individual,Petrol,Manual,22.0,1197,81.8,5,445000
Safari,8,67231,Dealer,Diesel,Manual,14.0,2179,138.1,7,705000
Wagon R,8,64000,Dealer,CNG,Manual,33.54,998,67.04,5,270000
City,7,63000,Dealer,Diesel,Manual,26.0,1498,98.6,5,475000
Fortuner,6,80000,Individual,Diesel,Manual,12.55,2982,168.5,7,1755000
City,10,55000,Dealer,Petrol,Manual,16.9,1497,100.0,5,350000
i20,5,11000,Dealer,Petrol,Manual,18.6,1197,81.83,5,575000
KWID,4,17000,Individual,Petrol,Manual,23.01,999,67.0,5,360000
Alto,4,25000,Individual,Petrol,Manual,24.7,796,47.3,5,275000
GO,5,33350,Individual,Petrol,Manual,19.44,1198,67.0,7,320000
Grand,6,62000,Dealer,Petrol,Manual,18.9,1197,82.0,5,370000
Swift Dzire,12,59000,Individual,Petrol,Manual,17.5,1298,85.8,5,275000
City,7,86113,Dealer,Petrol,Manual,17.4,1497,117.3,5,550000
Swift Dzire,3,10000,Individual,Diesel,Manual,28.4,1248,74.02,5,750000
Wagon R,6,92537,Individual,Petrol,Manual,20.51,998,67.04,5,272000
Ciaz,2,27645,Dealer,Diesel,Manual,28.09,1248,88.5,5,951000
Alto,8,46242,Individual,Petrol,Manual,20.92,998,67.1,5,280000
City,8,70000,Individual,Petrol,Manual,16.8,1497,116.3,5,545000
KWID,1,6000,Individual,Petrol,Manual,22.3,799,53.26,5,450000
i20,4,64000,Dealer,Petrol,Manual,18.6,1197,81.83,5,480000
Scorpio,4,93000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1060000
Alto,8,26200,Dealer,Petrol,Manual,22.74,796,47.3,5,235000
Baleno,4,25000,Individual,Petrol,Manual,21.4,1197,83.1,5,590000
Fortuner,3,50000,Dealer,Diesel,Automatic,12.9,2755,174.5,7,2950000
Santro,13,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,110000
Scorpio,14,110000,Individual,Diesel,Manual,13.5,2179,115.0,5,280000
A4,5,55000,Dealer,Petrol,Automatic,17.84,1395,147.51,5,1851000
City,3,25000,Individual,Petrol,Manual,17.4,1497,117.3,5,750000
Grand,6,36000,Dealer,Petrol,Manual,18.9,1197,81.86,5,400000
Swift Dzire,6,40000,Individual,Diesel,Manual,26.59,1248,74.0,5,530000
Thar,3,25000,Individual,Diesel,Manual,16.55,2498,105.0,6,870000
KWID,3,30038,Dealer,Petrol,Manual,25.17,799,53.3,5,295000
Tiago,4,53000,Individual,Diesel,Manual,27.28,1047,69.0,5,370000
Swift,3,5000,Individual,Petrol,Manual,21.21,1197,81.8,5,530000
KWID,4,35000,Individual,Petrol,Automatic,24.04,999,67.0,5,350000
Ecosport,8,62000,Dealer,Diesel,Manual,22.7,1498,89.84,5,470000
Aspire,6,42000,Individual,Diesel,Manual,25.83,1498,99.0,5,390000
Scorpio,6,80000,Individual,Diesel,Manual,15.4,2179,120.0,7,920000
XUV500,8,60000,Individual,Diesel,Manual,15.1,2179,140.0,7,550000
Verna,7,45000,Individual,Diesel,Manual,22.32,1582,126.32,5,635000
XUV500,4,50000,Dealer,Diesel,Automatic,16.0,2179,140.0,7,1250000
Alto,3,12000,Individual,Petrol,Manual,24.7,796,47.3,5,300000
City,3,12000,Individual,Petrol,Automatic,18.0,1497,117.6,5,960000
Vitara,3,15000,Individual,Diesel,Manual,24.3,1248,88.5,5,750000
Polo,10,63000,Dealer,Petrol,Manual,16.47,1198,73.9,5,249000
Hexa,3,30000,Individual,Diesel,Manual,17.6,2179,153.86,7,1400000
Figo,10,160800,Individual,Diesel,Manual,20.0,1399,68.0,5,250000
Verna,7,120000,Individual,Diesel,Manual,22.32,1582,126.32,5,610000
Ecosport,5,78247,Dealer,Diesel,Manual,21.7,1498,98.96,5,545000
Verna,8,113000,Individual,Diesel,Manual,22.32,1582,126.3,5,480000
i20,7,52000,Dealer,Petrol,Manual,18.6,1197,81.83,5,395000
Innova,9,109000,Dealer,Diesel,Manual,12.99,2494,100.6,7,495000
Grand,4,90000,Individual,Petrol,Manual,18.9,1197,82.0,5,470000
Polo,10,98000,Dealer,Diesel,Manual,22.07,1199,73.9,5,200000
i20,5,20000,Individual,Diesel,Manual,21.19,1396,88.73,5,699000
Wagon R,7,21717,Individual,Petrol,Manual,20.51,998,67.04,5,340000
Duster,7,40000,Individual,Diesel,Manual,20.45,1461,83.8,5,500000
City,4,50000,Individual,Petrol,Manual,17.14,1497,117.6,5,1050000
Duster,5,90000,Individual,Diesel,Manual,19.6,1461,108.45,5,600000
Swift,4,27876,Dealer,Petrol,Manual,20.4,1197,81.8,5,491000
Rover,5,56000,Dealer,Petrol,Automatic,12.63,1999,177.0,5,2890000
i10,13,57215,Individual,Petrol,Manual,20.36,1197,78.9,5,160000
Venue,2,5400,Dealer,Petrol,Manual,18.27,998,118.35,5,985000
Swift Dzire,7,60000,Individual,Diesel,Manual,23.4,1248,74.0,5,500000
Tiago,4,24800,Individual,Petrol,Manual,23.84,1199,84.0,5,335000
Alto,16,70000,Individual,Petrol,Manual,19.7,796,46.3,5,85000
Jazz,3,20000,Dealer,Petrol,Automatic,17.1,1199,88.51,5,740000
Swift,8,34553,Dealer,Petrol,Manual,22.0,1197,81.8,5,375000
Vitara,3,40000,Individual,Diesel,Manual,24.3,1248,88.5,5,810000
Polo,11,350000,Individual,Petrol,Manual,16.47,1198,73.9,5,173000
Vitara,4,50000,Individual,Diesel,Manual,24.3,1248,88.5,5,700000
KUV,5,70000,Individual,Diesel,Manual,25.32,1198,77.0,6,310000
Scorpio,4,120000,Individual,Diesel,Manual,15.4,1997,120.0,7,850000
i20,8,90000,Individual,Diesel,Manual,22.54,1396,88.76,5,285000
Swift Dzire,7,120000,Individual,Diesel,Manual,23.4,1248,74.0,5,450000
Creta,4,80000,Individual,Diesel,Manual,19.67,1582,126.2,5,1100000
Scorpio,4,30000,Individual,Diesel,Manual,15.4,1997,120.0,7,1080000
City,7,66100,Dealer,Diesel,Manual,26.0,1498,98.6,5,530000
Swift Dzire,4,50000,Individual,Diesel,Manual,28.4,1248,74.02,5,680000
Scorpio,4,42000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1025000
i20,4,55000,Individual,Petrol,Manual,18.6,1197,81.83,5,650000
i10,9,110699,Dealer,Petrol,Manual,20.36,1197,78.9,5,194000
Baleno,2,5000,Individual,Petrol,Automatic,21.4,1197,83.1,5,686000
Alto,5,50000,Individual,Petrol,Manual,22.74,796,47.3,5,200000
Swift Dzire,11,44000,Dealer,Petrol,Manual,19.1,1197,85.8,5,250000
Vitara,3,90000,Individual,Diesel,Manual,24.3,1248,88.5,5,730000
Verna,5,55000,Dealer,Petrol,Manual,17.01,1591,121.3,5,650000
Vitara,4,45000,Dealer,Diesel,Manual,24.3,1248,88.5,5,790000
Baleno,4,30000,Individual,Petrol,Manual,21.4,1197,83.1,5,620000
Verna,8,50000,Individual,Petrol,Manual,17.01,1591,121.3,5,510000
Eeco,8,20000,Individual,Petrol,Manual,15.37,1196,73.0,5,375000
Swift Dzire,4,19843,Trustmark Dealer,Petrol,Automatic,21.21,1197,81.8,5,620000
Endeavour,10,30000,Individual,Diesel,Automatic,11.4,2953,153.86,7,950000
Innova,4,52300,Dealer,Diesel,Manual,13.68,2393,147.51,7,1450000
City,5,40000,Individual,Petrol,Automatic,18.0,1497,117.3,5,845000
Swift Dzire,7,61500,Dealer,Diesel,Manual,23.4,1248,74.0,5,390000
Amaze,6,59000,Dealer,Petrol,Manual,18.0,1198,86.7,5,395000
Grand,3,40000,Individual,Petrol,Manual,18.9,1197,81.86,5,450000
A6,8,60000,Individual,Diesel,Automatic,17.68,1968,174.33,5,1700000
Grand,8,61000,Dealer,Petrol,Manual,18.9,1197,82.0,5,325000
KUV,5,70000,Individual,Diesel,Manual,25.32,1198,77.0,6,350000
XUV500,8,63000,Dealer,Diesel,Manual,15.1,2179,140.0,7,650000
E-Class,9,58000,Dealer,Petrol,Manual,12.3,1796,185.0,5,1250000
Swift Dzire,4,22000,Individual,Diesel,Manual,28.4,1248,74.02,5,750000
City,11,57977,Dealer,Petrol,Manual,17.0,1497,118.0,5,299000
Rover,3,13000,Dealer,Petrol,Automatic,12.19,1997,237.36,4,7000000
Cooper,9,67000,Dealer,Petrol,Automatic,17.33,1998,189.08,4,1325000
Ertiga,7,48242,Dealer,Diesel,Manual,20.77,1248,88.76,7,524000
Figo,9,68000,Dealer,Diesel,Manual,20.0,1399,68.05,5,169000
Ertiga,7,40000,Individual,Diesel,Manual,20.77,1248,88.8,7,500000
Q7,9,98000,Dealer,Diesel,Automatic,12.07,2967,241.4,7,2000000
Swift Dzire,8,113450,Individual,Diesel,Manual,23.4,1248,74.0,5,380000
Wagon R,3,80000,Individual,Petrol,Automatic,20.51,998,67.0,5,400000
Santro,1,1000,Dealer,Petrol,Automatic,20.3,1086,68.0,5,565000
Wagon R,6,20292,Dealer,Petrol,Manual,20.51,998,67.04,5,335000
Scorpio,11,67900,Dealer,Diesel,Manual,12.05,2179,120.0,7,300000
Scorpio,6,40000,Dealer,Diesel,Manual,15.4,1997,120.0,7,1051000
Grand,4,60000,Individual,Diesel,Manual,24.0,1186,73.97,5,510000
KWID,3,25000,Individual,Petrol,Automatic,24.04,999,67.0,5,370000
Wagon R,15,70000,Individual,Petrol,Manual,18.9,998,67.1,5,200000
Baleno,3,21000,Individual,Diesel,Manual,27.39,1248,74.0,5,625000
Scorpio,3,39000,Dealer,Diesel,Manual,16.36,2179,140.0,7,1290000
Creta,4,30000,Dealer,Petrol,Manual,15.8,1591,121.3,5,890000
Verna,9,61000,Dealer,Diesel,Manual,22.32,1582,126.3,5,420000
Swift,4,5743,Trustmark Dealer,Petrol,Manual,20.4,1197,83.11,5,500000
Grand,3,24200,Individual,Petrol,Manual,18.9,1197,81.86,5,600000
Baleno,4,57000,Individual,Diesel,Manual,27.39,1248,74.0,5,590000
i10,10,58000,Dealer,Petrol,Manual,20.36,1197,78.9,5,190000
GO,4,15000,Individual,Petrol,Manual,19.44,1198,67.0,7,500000
Celerio,4,10000,Individual,Petrol,Manual,23.1,998,67.04,5,450000
XUV500,6,100000,Individual,Diesel,Manual,15.1,2179,140.0,7,650000
Z4,1,2000,Dealer,Petrol,Automatic,11.29,2998,335.0,2,8250000
Wagon R,1,10000,Individual,Petrol,Manual,20.52,1197,81.8,5,500000
Alto,12,43000,Individual,Petrol,Manual,19.7,796,46.3,5,140000
Amaze,8,64000,Dealer,CNG,Manual,18.0,1198,86.7,5,349000
Wagon R,7,30000,Individual,Petrol,Manual,20.51,998,67.06,5,325000
City,7,63000,Dealer,Petrol,Manual,17.8,1497,117.3,5,435000
Celerio,3,28000,Dealer,CNG,Manual,31.79,998,58.33,5,455000
Rover,3,25000,Individual,Petrol,Automatic,9.17,2995,335.25,7,6200000
City,4,32226,Dealer,Petrol,Manual,17.8,1497,117.3,5,755000
Alto,7,65000,Individual,Petrol,Manual,23.95,998,67.05,5,245000
Seltos,2,14000,Dealer,Diesel,Manual,20.8,1493,113.4,5,1350000
KWID,3,15000,Individual,Petrol,Automatic,24.04,999,67.0,5,310000
6,3,30000,Individual,Petrol,Automatic,14.28,1998,254.7,4,5500000
Swift Dzire,3,32000,Dealer,Diesel,Manual,19.3,1248,73.9,5,675000
Wagon R,2,30000,Individual,Petrol,Manual,20.52,1197,81.8,5,500000
i10,11,25000,Individual,Petrol,Manual,20.36,1197,78.9,5,300000
Scorpio,5,35000,Individual,Diesel,Automatic,15.4,2179,120.0,7,1450000
Scorpio,8,140000,Individual,Diesel,Manual,12.05,2179,120.0,8,530000
Ecosport,7,65597,Trustmark Dealer,Diesel,Manual,22.7,1498,89.84,5,575000
i20,4,35000,Individual,Petrol,Manual,18.6,1197,81.83,5,550000
Ciaz,7,160000,Individual,Diesel,Manual,26.21,1248,88.5,5,500000
Baleno,1,7124,Individual,Petrol,Manual,21.01,1197,81.8,5,643000
Ecosport,2,15000,Individual,Petrol,Manual,18.1,999,123.24,5,1000000
Grand,5,34000,Individual,Petrol,Manual,18.9,1197,82.0,5,550000
Vento,10,280000,Individual,Diesel,Manual,20.54,1598,103.6,5,300000
Tigor,3,40000,Individual,Petrol,Manual,20.3,1199,84.0,5,470000
City,7,77000,Dealer,Diesel,Manual,26.0,1498,98.6,5,525000
GO,4,15000,Individual,Petrol,Manual,19.44,1198,67.0,7,469000
Alto,9,60000,Individual,Petrol,Manual,20.92,998,67.1,5,210000
Alto,8,120000,Individual,Petrol,Manual,22.74,796,47.3,5,200000
KWID,2,2500,Individual,Petrol,Manual,23.01,999,67.0,5,400000
XF,8,50000,Dealer,Diesel,Automatic,16.36,2179,187.7,5,2150000
Celerio,5,46500,Individual,Petrol,Manual,23.1,998,67.04,5,340000
Alto,16,5000,Individual,Petrol,Manual,19.7,796,46.3,5,95000
Swift,9,68000,Individual,Diesel,Manual,22.9,1248,74.0,5,381000
C-Class,10,45000,Dealer,Diesel,Automatic,14.94,2143,204.0,5,775000
Swift Dzire,4,20000,Individual,Diesel,Manual,28.4,1248,74.02,5,700000
Ciaz,4,106000,Dealer,Diesel,Manual,28.09,1248,88.5,5,675000
City,6,28000,Dealer,Petrol,Automatic,18.0,1497,117.3,5,670000
XUV500,3,50000,Individual,Diesel,Manual,16.0,2179,140.0,7,1050000
X5,2,19000,Individual,Diesel,Automatic,13.38,2993,265.0,5,7900000
City,10,55000,Dealer,Petrol,Manual,17.0,1497,118.0,5,360000
Figo,4,53000,Individual,Diesel,Manual,25.83,1498,99.0,5,400000
